Rechnung Nr;Rechnung Datum;Auftrag Datum;Kunde;Total ohne MwSt;MwSt 8.1%;Endtotal;Status
INV-2024-20037;2024-02-10;2024-02-08;Schmid AG;966.7;1045.0;2011.7;überfällig
INV-2024-20038;2024-02-18;2024-02-16;Schmid AG;3910.61;4227.37;8137.98;überfällig
INV-2024-20039;2024-02-04;2024-02-02;Migros AG;446.31;482.46;928.77;überfällig
INV-2024-20040;2024-02-29;2024-02-27;Keller AG;4922.88;5321.63;10244.51;bezahlt
INV-2024-20041;2024-02-07;2024-02-05;Keller AG;4779.91;5167.08;9946.99;bezahlt
INV-2024-20042;2024-02-06;2024-02-04;Huber GmbH;3553.4;3841.23;7394.63;überfällig
INV-2024-20043;2024-02-24;2024-02-22;coop AG;2497.86;2700.19;5198.05;überfällig
INV-2024-20044;2024-02-27;2024-02-25;Huber GmbH;2104.66;2275.14;4379.8;überfällig
INV-2024-20045;2024-02-17;2024-02-15;Keller AG;3279.48;3545.12;6824.6;überfällig
INV-2024-20046;2024-02-16;2024-02-14;Migros AG;2002.07;2164.24;4166.31;überfällig
INV-2024-20047;2024-02-03;2024-02-01;Schmid AG;3188.69;3446.97;6635.66;überfällig
INV-2024-20048;2024-02-29;2024-02-27;coop AG;3001.67;3244.81;6246.48;bezahlt
INV-2024-20049;2024-02-04;2024-02-02;Schmid AG;3012.95;3257.0;6269.95;bezahlt
INV-2024-20050;2024-02-03;2024-02-01;Payfix GmbH,Wallee AG;2365.84;2557.47;4923.31;offen
INV-2024-20051;2024-02-02;2024-01-31;Schmid AG;3374.65;3648.0;7022.65;überfällig
INV-2024-20052;2024-02-29;2024-02-27;City Kiosk Bern;1857.06;2007.48;3864.54;offen
INV-2024-20053;2024-02-11;2024-02-09;Müller AG;4527.31;4894.02;9421.33;offen
INV-2024-20054;2024-02-21;2024-02-19;Huber GmbH;3338.56;3608.98;6947.54;bezahlt
INV-2024-20055;2024-02-16;2024-02-14;Migros AG;4920.41;5318.96;10239.37;bezahlt
INV-2024-20056;2024-02-28;2024-02-26;Payfix GmbH,Wallee AG;3917.17;4234.46;8151.63;überfällig
INV-2024-20057;2024-02-27;2024-02-25;coop AG;3129.34;3382.82;6512.16;überfällig
INV-2024-20058;2024-02-20;2024-02-18;Meier GmbH;4484.88;4848.16;9333.04;bezahlt
INV-2024-20059;2024-02-02;2024-01-31;Weber AG;1622.51;1753.93;3376.44;offen
INV-2024-20060;2024-02-24;2024-02-22;City Kiosk Bern;714.57;772.45;1487.02;überfällig
INV-2024-20061;2024-02-06;2024-02-04;City Kiosk Bern;1557.76;1683.94;3241.7;offen
INV-2024-20062;2024-02-06;2024-02-04;Weber AG;2374.51;2566.85;4941.36;überfällig
INV-2024-20063;2024-02-10;2024-02-08;Schmid AG;3506.42;3790.44;7296.86;überfällig
INV-2024-20064;2024-02-02;2024-01-31;City Kiosk Bern;1825.99;1973.9;3799.89;überfällig
INV-2024-20065;2024-02-08;2024-02-06;Migros AG;2466.55;2666.34;5132.89;bezahlt
INV-2024-20066;2024-02-23;2024-02-21;coop AG;1235.29;1335.35;2570.64;bezahlt
INV-2024-20067;2024-02-22;2024-02-20;coop AG;1898.42;2052.19;3950.61;offen
INV-2024-20068;2024-03-01;2024-02-28;Keller AG;3900.07;4215.98;8116.05;überfällig
INV-2024-20069;2024-02-28;2024-02-26;Keller AG;1547.47;1672.82;3220.29;überfällig
INV-2024-20070;2024-02-28;2024-02-26;coop AG;1209.09;1307.03;2516.12;offen
INV-2024-20071;2024-02-03;2024-02-01;Keller AG;263.73;285.09;548.82;bezahlt
INV-2024-20072;2024-02-11;2024-02-09;Payfix GmbH,Wallee AG;2593.43;2803.5;5396.93;offen
INV-2024-20073;2024-02-10;2024-02-08;Weber AG;3419.32;3696.28;7115.6;bezahlt
INV-2024-20074;2024-02-15;2024-02-13;coop AG;4729.69;5112.79;9842.48;offen
INV-2024-20075;2024-02-04;2024-02-02;Payfix GmbH,Wallee AG;620.06;670.28;1290.34;überfällig
INV-2024-20076;2024-02-16;2024-02-14;Payfix GmbH,Wallee AG;1413.17;1527.64;2940.81;überfällig
INV-2024-20077;2024-02-05;2024-02-03;Weber AG;847.83;916.5;1764.33;überfällig
INV-2024-20078;2024-02-09;2024-02-07;Keller AG;4853.05;5246.15;10099.2;bezahlt
INV-2024-20079;2024-02-29;2024-02-27;Huber GmbH;1638.68;1771.41;3410.09;bezahlt
INV-2024-20080;2024-02-14;2024-02-12;Meier GmbH;1417.33;1532.13;2949.46;bezahlt
INV-2024-20081;2024-02-16;2024-02-14;coop AG;3928.49;4246.7;8175.19;offen
INV-2024-20082;2024-02-22;2024-02-20;Weber AG;541.5;585.36;1126.86;bezahlt
INV-2024-20083;2024-02-02;2024-01-31;City Kiosk Bern;3144.48;3399.18;6543.66;bezahlt
INV-2024-20084;2024-02-07;2024-02-05;Huber GmbH;941.47;1017.73;1959.2;offen
INV-2024-20085;2024-02-08;2024-02-06;Huber GmbH;2276.5;2460.9;4737.4;bezahlt
INV-2024-20086;2024-02-20;2024-02-18;Meier GmbH;1411.23;1525.54;2936.77;offen
INV-2024-20087;2024-02-27;2024-02-25;coop AG;2447.53;2645.78;5093.31;bezahlt
INV-2024-20088;2024-02-21;2024-02-19;coop AG;2655.24;2870.31;5525.55;überfällig
INV-2024-20089;2024-03-01;2024-02-28;coop AG;749.74;810.47;1560.21;offen
INV-2024-20090;2024-02-07;2024-02-05;Meier GmbH;4059.15;4387.94;8447.09;bezahlt
INV-2024-20091;2024-03-01;2024-02-28;Keller AG;655.86;708.98;1364.84;bezahlt
INV-2024-20092;2024-02-09;2024-02-07;Schmid AG;257.8;278.68;536.48;überfällig
INV-2024-20093;2024-02-26;2024-02-24;Weber AG;660.64;714.15;1374.79;offen
INV-2024-20094;2024-02-23;2024-02-21;Huber GmbH;2899.0;3133.82;6032.82;offen
INV-2024-20095;2024-02-05;2024-02-03;Huber GmbH;1324.87;1432.18;2757.05;offen
INV-2024-20096;2024-02-19;2024-02-17;Keller AG;1624.02;1755.57;3379.59;offen
INV-2024-20097;2024-02-17;2024-02-15;City Kiosk Bern;2670.29;2886.58;5556.87;überfällig
INV-2024-20098;2024-02-23;2024-02-21;coop AG;4087.27;4418.34;8505.61;überfällig
INV-2024-20099;2024-02-24;2024-02-22;Müller AG;4694.65;5074.92;9769.57;offen
INV-2024-20100;2024-02-25;2024-02-23;City Kiosk Bern;613.67;663.38;1277.05;bezahlt
INV-2024-20101;2024-02-03;2024-02-01;Weber AG;147.34;159.27;306.61;offen
INV-2024-20102;2024-02-19;2024-02-17;City Kiosk Bern;2283.27;2468.21;4751.48;offen
INV-2024-20103;2024-02-17;2024-02-15;Huber GmbH;1415.56;1530.22;2945.78;bezahlt
INV-2024-20104;2024-02-05;2024-02-03;City Kiosk Bern;2038.02;2203.1;4241.12;überfällig
INV-2024-20105;2024-02-22;2024-02-20;Müller AG;2885.75;3119.5;6005.25;bezahlt
INV-2024-20106;2024-02-09;2024-02-07;Meier GmbH;1283.91;1387.91;2671.82;überfällig
INV-2024-20107;2024-02-07;2024-02-05;Müller AG;1856.58;2006.96;3863.54;offen
INV-2024-20108;2024-02-03;2024-02-01;Müller AG;4143.65;4479.29;8622.94;offen
INV-2024-20109;2024-02-11;2024-02-09;Weber AG;4578.33;4949.17;9527.5;überfällig
INV-2024-30001;2024-03-15;2024-03-13;Payfix GmbH,Wallee AG;3144.65;3399.37;6544.02;bezahlt
INV-2024-30002;2024-03-06;2024-03-04;Weber AG;3849.59;4161.41;8011.0;bezahlt
INV-2024-30003;2024-03-10;2024-03-08;Weber AG;4949.23;5350.12;10299.35;überfällig
INV-2024-30004;2024-03-24;2024-03-22;City Kiosk Bern;357.74;386.72;744.46;offen
INV-2024-30005;2024-03-18;2024-03-16;Huber GmbH;4649.27;5025.86;9675.13;überfällig
INV-2024-30006;2024-03-04;2024-03-02;Migros AG;2720.63;2941.0;5661.63;offen
INV-2024-30007;2024-03-09;2024-03-07;Meier GmbH;2823.86;3052.59;5876.45;bezahlt
INV-2024-30008;2024-03-20;2024-03-18;Huber GmbH;3393.74;3668.63;7062.37;überfällig
INV-2024-30009;2024-03-30;2024-03-28;City Kiosk Bern;1081.49;1169.09;2250.58;offen
INV-2024-30010;2024-03-30;2024-03-28;Migros AG;4508.9;4874.12;9383.02;offen
INV-2024-30011;2024-03-27;2024-03-25;Weber AG;1420.98;1536.08;2957.06;überfällig
INV-2024-30012;2024-03-23;2024-03-21;Keller AG;1099.9;1188.99;2288.89;offen
INV-2024-30013;2024-03-30;2024-03-28;Migros AG;2196.4;2374.31;4570.71;offen
INV-2024-30014;2024-03-03;2024-03-01;Migros AG;4633.42;5008.73;9642.15;offen
INV-2024-30015;2024-03-31;2024-03-29;City Kiosk Bern;219.58;237.37;456.95;überfällig
INV-2024-30016;2024-03-20;2024-03-18;Huber GmbH;2322.84;2510.99;4833.83;überfällig
INV-2024-30017;2024-03-15;2024-03-13;Meier GmbH;4601.47;4974.19;9575.66;bezahlt
INV-2024-30018;2024-03-12;2024-03-10;Müller AG;4602.63;4975.44;9578.07;überfällig
INV-2024-30019;2024-03-20;2024-03-18;Meier GmbH;1190.54;1286.97;2477.51;offen
INV-2024-30020;2024-03-25;2024-03-23;Payfix GmbH,Wallee AG;2314.94;2502.45;4817.39;offen
INV-2024-30021;2024-03-14;2024-03-12;coop AG;2322.63;2510.76;4833.39;überfällig
INV-2024-30022;2024-03-28;2024-03-26;Payfix GmbH,Wallee AG;3642.16;3937.17;7579.33;überfällig
INV-2024-30023;2024-03-29;2024-03-27;Huber GmbH;488.57;528.14;1016.71;bezahlt
INV-2024-30024;2024-03-30;2024-03-28;Migros AG;3513.95;3798.58;7312.53;offen
INV-2024-30025;2024-03-09;2024-03-07;Schmid AG;3654.61;3950.63;7605.24;überfällig
INV-2024-30026;2024-03-02;2024-02-29;Huber GmbH;3432.15;3710.15;7142.3;bezahlt
INV-2024-30027;2024-03-14;2024-03-12;coop AG;3806.33;4114.64;7920.97;offen
INV-2024-30028;2024-03-15;2024-03-13;Huber GmbH;3614.8;3907.6;7522.4;bezahlt
INV-2024-30029;2024-03-03;2024-03-01;Müller AG;4260.27;4605.35;8865.62;offen
INV-2024-30030;2024-03-12;2024-03-10;Müller AG;4349.02;4701.29;9050.31;bezahlt
INV-2024-30031;2024-04-01;2024-03-30;Weber AG;3893.68;4209.07;8102.75;offen
INV-2024-30032;2024-04-01;2024-03-30;Migros AG;122.25;132.15;254.4;bezahlt
INV-2024-30033;2024-03-03;2024-03-01;Müller AG;154.23;166.72;320.95;überfällig
INV-2024-30034;2024-03-02;2024-02-29;Payfix GmbH,Wallee AG;1899.95;2053.85;3953.8;überfällig
INV-2024-30035;2024-03-22;2024-03-20;Schmid AG;4172.84;4510.84;8683.68;offen
INV-2024-30036;2024-03-25;2024-03-23;Meier GmbH;4964.79;5366.94;10331.73;überfällig
INV-2024-30037;2024-03-03;2024-03-01;Weber AG;2759.62;2983.15;5742.77;offen
INV-2024-30038;2024-03-26;2024-03-24;Weber AG;2930.48;3167.85;6098.33;offen
INV-2024-30039;2024-03-11;2024-03-09;Schmid AG;186.54;201.65;388.19;überfällig
INV-2024-30040;2024-03-22;2024-03-20;City Kiosk Bern;1341.35;1450.0;2791.35;bezahlt
INV-2024-30041;2024-03-24;2024-03-22;Müller AG;274.5;296.73;571.23;überfällig
INV-2024-30042;2024-03-31;2024-03-29;Payfix GmbH,Wallee AG;1970.54;2130.15;4100.69;bezahlt
INV-2024-30043;2024-03-12;2024-03-10;Schmid AG;4979.42;5382.75;10362.17;bezahlt
INV-2024-30044;2024-03-16;2024-03-14;coop AG;3568.78;3857.85;7426.63;offen
INV-2024-30045;2024-03-20;2024-03-18;Schmid AG;3439.17;3717.74;7156.91;offen
INV-2024-30046;2024-03-23;2024-03-21;Schmid AG;1347.57;1456.72;2804.29;offen
INV-2024-30047;2024-03-26;2024-03-24;Migros AG;1512.77;1635.3;3148.07;bezahlt
INV-2024-30048;2024-03-31;2024-03-29;Huber GmbH;3496.32;3779.52;7275.84;bezahlt
INV-2024-30049;2024-03-16;2024-03-14;Schmid AG;3620.99;3914.29;7535.28;bezahlt
INV-2024-30050;2024-03-14;2024-03-12;Migros AG;267.13;288.77;555.9;offen
INV-2024-30051;2024-03-31;2024-03-29;coop AG;2070.98;2238.73;4309.71;bezahlt
INV-2024-30052;2024-03-04;2024-03-02;Weber AG;986.97;1066.91;2053.88;offen
INV-2024-30053;2024-03-18;2024-03-16;Müller AG;1823.35;1971.04;3794.39;überfällig
INV-2024-30054;2024-03-29;2024-03-27;Weber AG;1811.28;1957.99;3769.27;bezahlt
INV-2024-30055;2024-03-28;2024-03-26;Müller AG;954.82;1032.16;1986.98;bezahlt
INV-2024-30056;2024-03-13;2024-03-11;Payfix GmbH,Wallee AG;2690.75;2908.7;5599.45;offen
INV-2024-30057;2024-03-11;2024-03-09;Keller AG;1854.04;2004.22;3858.26;überfällig
INV-2024-30058;2024-03-12;2024-03-10;Schmid AG;241.45;261.01;502.46;offen
INV-2024-30059;2024-03-23;2024-03-21;Keller AG;2406.82;2601.77;5008.59;bezahlt
INV-2024-30060;2024-03-25;2024-03-23;Keller AG;2228.78;2409.31;4638.09;bezahlt
