Rechnung Nr;Rechnung Datum;Auftrag Datum;Kunde;Total ohne MwSt;MwSt 8.1%;Endtotal;Status
INV-2025-10094;2025-01-21;2025-01-19;Payfix GmbH,Wallee AG;4356.58;4709.46;9066.04;überfällig
INV-2025-10095;2025-01-19;2025-01-17;coop AG;4297.04;4645.1;8942.14;bezahlt
INV-2025-10096;2025-01-17;2025-01-15;Weber AG;1151.93;1245.24;2397.17;überfällig
INV-2025-10097;2025-01-25;2025-01-23;Weber AG;4441.95;4801.75;9243.7;offen
INV-2025-10098;2025-01-12;2025-01-10;Keller AG;819.03;885.37;1704.4;bezahlt
INV-2025-10099;2025-01-03;2025-01-01;Schmid AG;1095.51;1184.25;2279.76;überfällig
INV-2025-10100;2025-01-14;2025-01-12;Migros AG;3907.81;4224.34;8132.15;offen
INV-2025-10101;2025-01-09;2025-01-07;Müller AG;2891.1;3125.28;6016.38;überfällig
INV-2025-10102;2025-01-28;2025-01-26;coop AG;325.33;351.68;677.01;offen
INV-2025-10103;2025-01-20;2025-01-18;Weber AG;4730.78;5113.97;9844.75;überfällig
INV-2025-10104;2025-01-05;2025-01-03;Schmid AG;3599.25;3890.79;7490.04;offen
INV-2025-10105;2025-01-10;2025-01-08;Migros AG;4586.49;4958.0;9544.49;bezahlt
INV-2025-10106;2025-01-19;2025-01-17;City Kiosk Bern;735.18;794.73;1529.91;bezahlt
INV-2025-10107;2025-01-29;2025-01-27;coop AG;717.47;775.59;1493.06;überfällig
INV-2025-10108;2025-01-22;2025-01-20;Huber GmbH;4900.8;5297.76;10198.56;bezahlt
INV-2025-10109;2025-01-30;2025-01-28;Schmid AG;4354.4;4707.11;9061.51;bezahlt
INV-2025-20001;2025-02-19;2025-02-17;Meier GmbH;605.51;654.56;1260.07;bezahlt
INV-2025-20002;2025-02-23;2025-02-21;Keller AG;4525.4;4891.96;9417.36;bezahlt
INV-2025-20003;2025-02-02;2025-01-31;Huber GmbH;4815.29;5205.33;10020.62;bezahlt
INV-2025-20004;2025-02-25;2025-02-23;Meier GmbH;1835.15;1983.8;3818.95;überfällig
INV-2025-20005;2025-02-08;2025-02-06;City Kiosk Bern;1729.03;1869.08;3598.11;bezahlt
INV-2025-20006;2025-02-09;2025-02-07;Payfix GmbH,Wallee AG;3329.09;3598.75;6927.84;offen
INV-2025-20007;2025-02-04;2025-02-02;Müller AG;2425.76;2622.25;5048.01;offen
INV-2025-20008;2025-03-01;2025-02-27;Payfix GmbH,Wallee AG;2103.27;2273.63;4376.9;bezahlt
INV-2025-20009;2025-02-06;2025-02-04;Migros AG;616.3;666.22;1282.52;überfällig
INV-2025-20010;2025-02-06;2025-02-04;Meier GmbH;3664.18;3960.98;7625.16;bezahlt
INV-2025-20011;2025-02-11;2025-02-09;Müller AG;3043.3;3289.81;6333.11;überfällig
INV-2025-20012;2025-02-18;2025-02-16;coop AG;2676.89;2893.72;5570.61;bezahlt
INV-2025-20013;2025-02-19;2025-02-17;Huber GmbH;916.65;990.9;1907.55;offen
INV-2025-20014;2025-02-16;2025-02-14;coop AG;1155.11;1248.67;2403.78;offen
INV-2025-20015;2025-02-06;2025-02-04;City Kiosk Bern;2751.95;2974.86;5726.81;offen
INV-2025-20016;2025-02-18;2025-02-16;Müller AG;2241.42;2422.98;4664.4;überfällig
INV-2025-20017;2025-02-24;2025-02-22;City Kiosk Bern;3429.5;3707.29;7136.79;überfällig
INV-2025-20018;2025-02-23;2025-02-21;Huber GmbH;3653.29;3949.21;7602.5;überfällig
INV-2025-20019;2025-02-06;2025-02-04;Keller AG;1017.42;1099.83;2117.25;überfällig
INV-2025-20020;2025-02-07;2025-02-05;Meier GmbH;4625.32;4999.97;9625.29;offen
INV-2025-20021;2025-02-21;2025-02-19;Müller AG;3650.73;3946.44;7597.17;offen
INV-2025-20022;2025-02-25;2025-02-23;Payfix GmbH,Wallee AG;2800.18;3026.99;5827.17;bezahlt
INV-2025-20023;2025-02-13;2025-02-11;Müller AG;2533.15;2738.34;5271.49;überfällig
INV-2025-20024;2025-02-22;2025-02-20;Payfix GmbH,Wallee AG;1334.77;1442.89;2777.66;überfällig
INV-2025-20025;2025-02-25;2025-02-23;Weber AG;4708.21;5089.58;9797.79;überfällig
INV-2025-20026;2025-02-20;2025-02-18;City Kiosk Bern;2934.58;3172.28;6106.86;bezahlt
INV-2025-20027;2025-02-02;2025-01-31;Schmid AG;2833.44;3062.95;5896.39;überfällig
INV-2025-20028;2025-02-14;2025-02-12;Payfix GmbH,Wallee AG;563.22;608.84;1172.06;überfällig
INV-2025-20029;2025-02-07;2025-02-05;Weber AG;4191.96;4531.51;8723.47;überfällig
INV-2025-20030;2025-02-10;2025-02-08;Schmid AG;2584.7;2794.06;5378.76;überfällig
INV-2025-20031;2025-02-02;2025-01-31;Schmid AG;4787.98;5175.81;9963.79;bezahlt
INV-2025-20032;2025-02-05;2025-02-03;Keller AG;2873.48;3106.23;5979.71;offen
INV-2025-20033;2025-02-07;2025-02-05;Meier GmbH;2834.88;3064.51;5899.39;offen
INV-2025-20034;2025-02-12;2025-02-10;Meier GmbH;791.85;855.99;1647.84;offen
INV-2025-20035;2025-02-15;2025-02-13;Schmid AG;2106.94;2277.6;4384.54;überfällig
INV-2025-20036;2025-02-20;2025-02-18;Müller AG;3133.64;3387.46;6521.1;offen
INV-2025-20037;2025-02-03;2025-02-01;Keller AG;4059.52;4388.34;8447.86;überfällig
INV-2025-20038;2025-02-09;2025-02-07;coop AG;3801.61;4109.54;7911.15;bezahlt
INV-2025-20039;2025-02-02;2025-01-31;City Kiosk Bern;2148.64;2322.68;4471.32;offen
INV-2025-20040;2025-02-20;2025-02-18;Migros AG;613.65;663.36;1277.01;überfällig
INV-2025-20041;2025-02-24;2025-02-22;Migros AG;496.48;536.69;1033.17;bezahlt
INV-2025-20042;2025-02-19;2025-02-17;Huber GmbH;2160.36;2335.35;4495.71;bezahlt
INV-2025-20043;2025-02-23;2025-02-21;Payfix GmbH,Wallee AG;3461.74;3742.14;7203.88;offen
INV-2025-20044;2025-02-09;2025-02-07;Weber AG;1886.52;2039.33;3925.85;offen
INV-2025-20045;2025-02-05;2025-02-03;Schmid AG;4220.45;4562.31;8782.76;offen
INV-2025-20046;2025-02-02;2025-01-31;Keller AG;761.46;823.14;1584.6;überfällig
INV-2025-20047;2025-02-22;2025-02-20;Meier GmbH;2436.34;2633.68;5070.02;offen
INV-2025-20048;2025-02-27;2025-02-25;Müller AG;4579.22;4950.14;9529.36;bezahlt
INV-2025-20049;2025-02-16;2025-02-14;Weber AG;3419.67;3696.66;7116.33;überfällig
INV-2025-20050;2025-02-27;2025-02-25;Payfix GmbH,Wallee AG;1164.93;1259.29;2424.22;überfällig
INV-2025-20051;2025-02-27;2025-02-25;Meier GmbH;646.37;698.73;1345.1;offen
INV-2025-20052;2025-02-10;2025-02-08;City Kiosk Bern;2837.75;3067.61;5905.36;überfällig
INV-2025-20053;2025-02-03;2025-02-01;Huber GmbH;3679.65;3977.7;7657.35;offen
INV-2025-20054;2025-02-07;2025-02-05;City Kiosk Bern;2109.98;2280.89;4390.87;überfällig
INV-2025-20055;2025-02-03;2025-02-01;Huber GmbH;3359.73;3631.87;6991.6;bezahlt
INV-2025-20056;2025-02-27;2025-02-25;Meier GmbH;961.76;1039.66;2001.42;bezahlt
INV-2025-20057;2025-02-17;2025-02-15;Keller AG;4448.53;4808.86;9257.39;bezahlt
INV-2025-20058;2025-02-24;2025-02-22;Payfix GmbH,Wallee AG;1291.6;1396.22;2687.82;überfällig
INV-2025-20059;2025-02-19;2025-02-17;coop AG;4155.64;4492.25;8647.89;offen
INV-2025-20060;2025-02-22;2025-02-20;Meier GmbH;4219.01;4560.75;8779.76;bezahlt
INV-2025-20061;2025-02-21;2025-02-19;Migros AG;1871.31;2022.89;3894.2;offen
INV-2025-20062;2025-02-25;2025-02-23;City Kiosk Bern;2634.81;2848.23;5483.04;bezahlt
INV-2025-20063;2025-02-02;2025-01-31;Keller AG;3484.66;3766.92;7251.58;offen
INV-2025-20064;2025-02-21;2025-02-19;Huber GmbH;3436.54;3714.9;7151.44;überfällig
INV-2025-20065;2025-02-03;2025-02-01;Huber GmbH;909.19;982.83;1892.02;bezahlt
INV-2025-20066;2025-02-07;2025-02-05;City Kiosk Bern;1820.07;1967.5;3787.57;überfällig
INV-2025-20067;2025-02-13;2025-02-11;Müller AG;4574.12;4944.62;9518.74;bezahlt
INV-2025-20068;2025-02-10;2025-02-08;Payfix GmbH,Wallee AG;1324.1;1431.35;2755.45;bezahlt
INV-2025-20069;2025-02-04;2025-02-02;Weber AG;4240.13;4583.58;8823.71;offen
INV-2025-20070;2025-02-19;2025-02-17;Payfix GmbH,Wallee AG;3499.26;3782.7;7281.96;überfällig
INV-2025-20071;2025-02-11;2025-02-09;Müller AG;3848.13;4159.83;8007.96;offen
INV-2025-20072;2025-02-16;2025-02-14;Huber GmbH;3724.04;4025.69;7749.73;überfällig
INV-2025-20073;2025-02-26;2025-02-24;Müller AG;639.06;690.82;1329.88;überfällig
INV-2025-20074;2025-02-13;2025-02-11;Weber AG;343.97;371.83;715.8;bezahlt
INV-2025-20075;2025-02-25;2025-02-23;City Kiosk Bern;2127.21;2299.51;4426.72;offen
INV-2025-20076;2025-02-06;2025-02-04;Migros AG;876.97;948.0;1824.97;offen
INV-2025-20077;2025-02-26;2025-02-24;Müller AG;4081.59;4412.2;8493.79;offen
INV-2025-20078;2025-03-01;2025-02-27;Payfix GmbH,Wallee AG;747.64;808.2;1555.84;überfällig
INV-2025-20079;2025-02-12;2025-02-10;City Kiosk Bern;4010.51;4335.36;8345.87;bezahlt
INV-2025-20080;2025-02-21;2025-02-19;Migros AG;3083.18;3332.92;6416.1;offen
INV-2025-20081;2025-02-09;2025-02-07;Weber AG;1162.63;1256.8;2419.43;überfällig
INV-2025-20082;2025-02-04;2025-02-02;City Kiosk Bern;934.49;1010.18;1944.67;überfällig
INV-2025-20083;2025-02-27;2025-02-25;Keller AG;3631.08;3925.2;7556.28;offen
INV-2025-20084;2025-02-13;2025-02-11;Payfix GmbH,Wallee AG;1981.1;2141.57;4122.67;bezahlt
INV-2025-20085;2025-02-25;2025-02-23;Payfix GmbH,Wallee AG;3311.25;3579.46;6890.71;überfällig
INV-2025-20086;2025-02-17;2025-02-15;Weber AG;3270.49;3535.4;6805.89;offen
INV-2025-20087;2025-02-20;2025-02-18;Payfix GmbH,Wallee AG;664.65;718.49;1383.14;überfällig
INV-2025-20088;2025-02-07;2025-02-05;coop AG;1826.32;1974.25;3800.57;überfällig
INV-2025-20089;2025-02-17;2025-02-15;Weber AG;1193.43;1290.1;2483.53;überfällig
INV-2025-20090;2025-02-23;2025-02-21;Payfix GmbH,Wallee AG;4996.54;5401.26;10397.8;offen
INV-2025-20091;2025-02-03;2025-02-01;City Kiosk Bern;4072.18;4402.03;8474.21;überfällig
INV-2025-20092;2025-02-14;2025-02-12;City Kiosk Bern;2274.33;2458.55;4732.88;überfällig
INV-2025-20093;2025-02-08;2025-02-06;coop AG;4724.28;5106.95;9831.23;offen
INV-2025-20094;2025-02-17;2025-02-15;Meier GmbH;4096.54;4428.36;8524.9;bezahlt
INV-2025-20095;2025-02-20;2025-02-18;City Kiosk Bern;3080.25;3329.75;6410.0;offen
INV-2025-20096;2025-02-08;2025-02-06;Payfix GmbH,Wallee AG;929.96;1005.29;1935.25;überfällig
INV-2025-20097;2025-02-07;2025-02-05;City Kiosk Bern;1240.58;1341.07;2581.65;offen
INV-2025-20098;2025-02-15;2025-02-13;Weber AG;1705.3;1843.43;3548.73;offen
INV-2025-20099;2025-02-09;2025-02-07;Huber GmbH;2276.11;2460.47;4736.58;bezahlt
INV-2025-20100;2025-02-26;2025-02-24;Meier GmbH;4215.38;4556.83;8772.21;bezahlt
INV-2025-20101;2025-02-24;2025-02-22;Payfix GmbH,Wallee AG;1511.48;1633.91;3145.39;bezahlt
INV-2025-20102;2025-02-06;2025-02-04;Schmid AG;4731.17;5114.39;9845.56;überfällig
INV-2025-20103;2025-02-20;2025-02-18;Keller AG;358.35;387.38;745.73;offen
INV-2025-20104;2025-02-21;2025-02-19;City Kiosk Bern;3705.92;4006.1;7712.02;überfällig
INV-2025-20105;2025-02-27;2025-02-25;coop AG;4855.7;5249.01;10104.71;offen
INV-2025-20106;2025-02-12;2025-02-10;Huber GmbH;992.68;1073.09;2065.77;offen
INV-2025-20107;2025-02-24;2025-02-22;Schmid AG;855.28;924.56;1779.84;offen
INV-2025-20108;2025-02-14;2025-02-12;Müller AG;2062.98;2230.08;4293.06;überfällig
INV-2025-20109;2025-02-02;2025-01-31;coop AG;4818.28;5208.56;10026.84;offen
INV-2025-30001;2025-03-25;2025-03-23;City Kiosk Bern;340.91;368.52;709.43;offen
INV-2025-30002;2025-03-02;2025-02-28;coop AG;1017.47;1099.89;2117.36;überfällig
INV-2025-30003;2025-03-27;2025-03-25;Migros AG;2248.8;2430.95;4679.75;überfällig
INV-2025-30004;2025-03-14;2025-03-12;Meier GmbH;783.31;846.76;1630.07;offen
INV-2025-30005;2025-03-02;2025-02-28;coop AG;4712.93;5094.68;9807.61;bezahlt
INV-2025-30006;2025-03-07;2025-03-05;City Kiosk Bern;1069.78;1156.43;2226.21;bezahlt
INV-2025-30007;2025-03-14;2025-03-12;Keller AG;2940.93;3179.15;6120.08;bezahlt
INV-2025-30008;2025-03-29;2025-03-27;Schmid AG;4895.14;5291.65;10186.79;überfällig
INV-2025-30009;2025-03-22;2025-03-20;Schmid AG;3517.07;3801.95;7319.02;offen
INV-2025-30010;2025-03-08;2025-03-06;Migros AG;3621.12;3914.43;7535.55;offen
INV-2025-30011;2025-03-10;2025-03-08;Huber GmbH;1303.45;1409.03;2712.48;offen
INV-2025-30012;2025-03-02;2025-02-28;Meier GmbH;1606.68;1736.82;3343.5;offen
INV-2025-30013;2025-03-24;2025-03-22;Payfix GmbH,Wallee AG;4707.61;5088.93;9796.54;bezahlt
INV-2025-30014;2025-03-10;2025-03-08;Huber GmbH;2392.78;2586.6;4979.38;bezahlt
INV-2025-30015;2025-03-13;2025-03-11;Keller AG;1704.69;1842.77;3547.46;überfällig
INV-2025-30016;2025-03-25;2025-03-23;Payfix GmbH,Wallee AG;3932.74;4251.29;8184.03;offen
INV-2025-30017;2025-03-07;2025-03-05;Meier GmbH;4991.82;5396.16;10387.98;offen
INV-2025-30018;2025-03-19;2025-03-17;Müller AG;4206.48;4547.2;8753.68;bezahlt
INV-2025-30019;2025-03-31;2025-03-29;Müller AG;2055.14;2221.61;4276.75;offen
INV-2025-30020;2025-03-05;2025-03-03;Meier GmbH;4801.75;5190.69;9992.44;offen
INV-2025-30021;2025-03-13;2025-03-11;Weber AG;2607.5;2818.71;5426.21;bezahlt
INV-2025-30022;2025-03-02;2025-02-28;Migros AG;3718.65;4019.86;7738.51;bezahlt
INV-2025-30023;2025-03-10;2025-03-08;Payfix GmbH,Wallee AG;520.19;562.33;1082.52;bezahlt
INV-2025-30024;2025-03-19;2025-03-17;coop AG;4832.33;5223.75;10056.08;bezahlt
INV-2025-30025;2025-03-20;2025-03-18;Müller AG;578.56;625.42;1203.98;bezahlt
INV-2025-30026;2025-03-21;2025-03-19;coop AG;2350.48;2540.87;4891.35;offen
INV-2025-30027;2025-03-29;2025-03-27;Migros AG;3861.24;4174.0;8035.24;bezahlt
INV-2025-30028;2025-03-27;2025-03-25;Keller AG;2550.32;2756.9;5307.22;bezahlt
INV-2025-30029;2025-03-31;2025-03-29;City Kiosk Bern;4609.19;4982.53;9591.72;bezahlt
INV-2025-30030;2025-03-03;2025-03-01;Schmid AG;4151.12;4487.36;8638.48;offen
INV-2025-30031;2025-03-19;2025-03-17;Müller AG;1927.43;2083.55;4010.98;offen
INV-2025-30032;2025-03-29;2025-03-27;Meier GmbH;3234.62;3496.62;6731.24;offen
INV-2025-30033;2025-03-22;2025-03-20;Müller AG;3613.85;3906.57;7520.42;offen
INV-2025-30034;2025-03-19;2025-03-17;coop AG;337.05;364.35;701.4;bezahlt
INV-2025-30035;2025-03-31;2025-03-29;coop AG;3705.73;4005.89;7711.62;bezahlt
INV-2025-30036;2025-03-04;2025-03-02;Migros AG;3184.47;3442.41;6626.88;überfällig
INV-2025-30037;2025-03-08;2025-03-06;Müller AG;4069.19;4398.79;8467.98;offen
INV-2025-30038;2025-03-03;2025-03-01;City Kiosk Bern;2604.61;2815.58;5420.19;bezahlt
INV-2025-30039;2025-03-07;2025-03-05;Payfix GmbH,Wallee AG;2647.27;2861.7;5508.97;überfällig
INV-2025-30040;2025-03-22;2025-03-20;Müller AG;4507.75;4872.88;9380.63;überfällig
INV-2025-30041;2025-04-01;2025-03-30;coop AG;994.61;1075.17;2069.78;überfällig
INV-2025-30042;2025-03-11;2025-03-09;Huber GmbH;1166.73;1261.24;2427.97;bezahlt
INV-2025-30043;2025-03-20;2025-03-18;Payfix GmbH,Wallee AG;555.47;600.46;1155.93;überfällig
INV-2025-30044;2025-03-19;2025-03-17;Migros AG;2085.93;2254.89;4340.82;offen
INV-2025-30045;2025-03-28;2025-03-26;Schmid AG;4378.0;4732.62;9110.62;offen
INV-2025-30046;2025-03-19;2025-03-17;Huber GmbH;3542.26;3829.18;7371.44;offen
INV-2025-30047;2025-03-30;2025-03-28;Weber AG;1194.81;1291.59;2486.4;offen
INV-2025-30048;2025-03-05;2025-03-03;Migros AG;961.22;1039.08;2000.3;bezahlt
INV-2025-30049;2025-03-18;2025-03-16;Müller AG;3761.18;4065.84;7827.02;überfällig
INV-2025-30050;2025-03-18;2025-03-16;Schmid AG;862.0;931.82;1793.82;bezahlt
INV-2025-30051;2025-03-09;2025-03-07;Meier GmbH;3432.53;3710.56;7143.09;überfällig
INV-2025-30052;2025-03-15;2025-03-13;Weber AG;1320.32;1427.27;2747.59;offen
INV-2025-30053;2025-03-16;2025-03-14;City Kiosk Bern;2662.77;2878.45;5541.22;bezahlt
INV-2025-30054;2025-03-21;2025-03-19;coop AG;4778.14;5165.17;9943.31;offen
INV-2025-30055;2025-03-08;2025-03-06;Payfix GmbH,Wallee AG;3475.44;3756.95;7232.39;bezahlt
INV-2025-30056;2025-03-18;2025-03-16;Huber GmbH;3286.31;3552.5;6838.81;überfällig
INV-2025-30057;2025-03-10;2025-03-08;Payfix GmbH,Wallee AG;3452.13;3731.75;7183.88;bezahlt
INV-2025-30058;2025-03-19;2025-03-17;Payfix GmbH,Wallee AG;1602.03;1731.79;3333.82;überfällig
